2021-07-04 20:07:100 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:741 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:826 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:114 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //select[@id='models']]
2021-07-04 20:07:558 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (a06b233817fb0835578dfab35b43edb2)] -> xpath: //select[@id='locations']]
2021-07-04 20:07:956 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-04 20:07:590 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-04 20:07:203 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-04 20:07:499 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-04 20:07:554 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //select[@id='makes']]
2021-07-04 20:07:882 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //select[@id='models']]
2021-07-04 20:07:478 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (7dfb05be8390847a2ff0a76fc966d059)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:633 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:924 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:148 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:447 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:542 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:222 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //select[@id='models']]
2021-07-05 11:07:780 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:956 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (8b9b0549d1abe36b6dcdb70ec5371aa7)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:119 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:378 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:629 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:726 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:906 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:187 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //select[@id='models']]
2021-07-05 11:07:06 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:172 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (8c0c32ebec5ce3c9893c4b616e660ca3)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:284 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:305 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:507 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:447 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:630 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:811 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //select[@id='models']]
2021-07-05 11:07:334 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:520 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (f2ccfc1c48cb3406d4897f7d1bb4005b)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:687 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:790 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:478 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:592 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:784 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:960 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //select[@id='models']]
2021-07-05 11:07:128 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:320 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (3ef44d6e0eee8ba502979d420edf87a9)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:772 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:882 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:423 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:663 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:411 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:483 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:691 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //select[@id='models']]
2021-07-05 11:07:879 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:27 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (358cd7255f492bd1c125fc00968c3d21)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:165 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:101 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:323 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //a[contains( text() , 'Search Cars')]]
2021-07-05 11:07:697 INFO  Homepage :31 - Verify Search Page Text[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //h1[contains( text() , 'New & Used Car Search - carsguide')]]
2021-07-05 11:07:769 INFO  SearchPage :33 - Selecting Car Make[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //select[@id='makes']]
2021-07-05 11:07:381 INFO  SearchPage :38 - Selecting Car Model[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //select[@id='models']]
2021-07-05 11:07:590 INFO  SearchPage :47 - Selecting Location of the Car[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //select[@id='locations']]
2021-07-05 11:07:771 INFO  SearchPage :42 - Selecting Car Price[[ChromeDriver: chrome on WINDOWS (dd508e896212ab9e53cc6190377d89ae)] -> xpath: //select[@id='priceTo']]
2021-07-05 11:07:919 INFO  BasePage :34 - Launching Chrome Browser 
2021-07-05 11:07:370 INFO  Homepage :23 - Mouse hover on buy + sell[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //a[contains( text() , 'buy + sell')]]
2021-07-05 11:07:580 INFO  Homepage :27 - CLicking on Search Cars[[ChromeDriver: chrome on WINDOWS (75b295a949b39cb824d75b967ac2a905)] -> xpath: //a[contains( text() , 'Search Cars')]]
